iter	Passed	Remaining
410	3300	4729
411	3306	4719
412	3312	4708
413	3318	4697
414	3325	4687
415	3330	4675
416	3336	4664
417	3342	4654
418	3348	4642
419	3353	4631
420	3359	4620
421	3366	4611
422	3375	4604
423	3380	4592
424	3386	4581
425	3392	4571
426	3397	4559
427	3403	4548
428	3409	4537
429	3414	4526
430	3420	4516
431	3426	4504
432	3431	4493
433	3437	4482
434	3443	4473
435	3449	4461
436	3456	4453
437	3461	4441
438	3467	4430
439	3473	4420
440	3478	4409
441	3483	4398
442	3489	4387
443	3495	4376
444	3501	4367
445	3506	4356
446	3511	4344
447	3519	4336
448	3524	4325
449	3532	4317
450	3538	4306
451	3543	4296
452	3550	4286
453	3555	4275
454	3560	4264
455	3567	4255
456	3572	4244
457	3578	4234
458	3584	4224
459	3589	4213
460	3595	4203
461	3601	4193
462	3606	4182
463	3611	4172
464	3617	4162
465	3624	4153
466	3632	4145
467	3637	4135
468	3642	4124
469	3649	4115
470	3654	4104
471	3660	4094
472	3666	4084
473	3671	4074
474	3678	4065
475	3683	4054
476	3688	4044
477	3695	4035
478	3700	4024
479	3705	4014
480	3711	4005
481	3717	3995
482	3722	3984
483	3729	3976
484	3734	3965
485	3743	3959
486	3750	3950
487	3758	3943
488	3763	3932
489	3768	3922
490	3775	3913
491	3780	3903
492	3786	3893
493	3792	3884
494	3797	3874
495	3803	3864
496	3809	3855
497	3814	3845
498	3820	3835
499	3825	3825
500	3833	3817
501	3840	3810
502	3846	3800
503	3852	3790
504	3857	3781
505	3863	3771
506	3869	3762
507	3875	3752
508	3880	3743
509	3887	3734
510	3892	3724
511	3898	3715
512	3904	3706
513	3909	3696
514	3915	3686
515	3922	3678
516	3927	3669
517	3935	3661
518	3940	3652
519	3945	3642
520	3954	3635
521	3959	3626
522	3966	3617
523	3971	3607
524	3977	3598
525	3983	3589
526	3988	3580
527	3994	3571
528	4001	3562
529	4006	3553
530	4016	3547
531	4022	3538
532	4028	3529
533	4033	3520
534	4038	3510
535	4046	3503
536	4052	3494
537	4060	3486
538	4066	3477
539	4071	3468
540	4078	3460
541	4083	3450
542	4088	3441
543	4095	3433
544	4100	3423
545	4106	3414
546	4112	3406
547	4118	3396
548	4124	3388
549	4130	3379
550	4136	3370
551	4142	3362
552	4149	3354
553	4155	3345
554	4161	3336
555	4166	3327
556	4172	3318
557	4178	3309
558	4183	3300
559	4189	3291
560	4196	3283
561	4202	3275
562	4208	3266
563	4214	3257
564	4219	3248
565	4225	3240
566	4231	3231
567	4237	3222
568	4242	3213
569	4247	3204
570	4254	3196
