iter	RMSE
201	3173.246794
202	3168.617451
203	3166.014933
204	3164.007514
205	3161.545374
206	3158.765358
207	3156.959704
208	3154.526585
209	3152.133462
210	3149.987042
211	3147.154981
212	3145.077189
213	3141.634281
214	3139.036475
215	3136.504087
216	3134.603264
217	3131.736077
218	3128.290873
219	3125.553998
220	3122.830749
221	3119.817072
222	3117.274268
223	3115.216254
224	3112.543704
225	3109.192484
226	3107.06127
227	3105.454563
228	3103.191181
229	3099.088116
230	3095.683493
231	3093.992755
232	3091.366909
233	3088.45455
234	3086.564669
235	3082.929381
236	3079.665156
237	3077.593473
238	3075.450412
239	3072.239068
240	3069.584284
241	3065.367492
242	3062.719931
243	3060.486291
244	3057.07201
245	3054.985872
246	3052.984391
247	3050.735135
248	3048.780195
249	3045.713202
250	3043.247073
251	3040.173255
252	3036.644392
253	3033.248183
254	3029.757495
255	3026.869662
256	3024.41171
257	3022.281101
258	3019.876249
259	3017.267554
260	3014.268515
261	3009.532819
262	3007.170938
263	3005.124388
264	3003.790718
265	3001.139243
266	2998.309829
267	2995.288662
268	2991.803865
269	2989.338146
270	2987.65259
271	2985.014578
272	2983.357314
273	2978.974126
274	2976.213699
275	2974.614836
276	2973.311583
277	2971.668933
278	2969.650279
279	2966.67683
280	2964.184942
281	2962.415031
282	2961.040961
283	2959.029651
284	2957.094533
285	2955.196607
286	2953.226733
287	2951.595912
288	2949.364618
289	2944.049178
290	2942.300089
291	2940.835175
292	2938.945955
293	2936.661777
294	2934.374339
295	2932.678431
296	2930.018424
297	2927.070799
298	2925.368419
299	2922.832539
300	2919.739334
301	2918.498615
302	2916.942095
303	2914.546078
304	2913.167652
305	2911.098182
306	2909.176686
307	2904.660537
308	2903.60816
309	2900.117074
310	2898.618394
311	2896.081831
312	2893.604574
313	2891.090919
314	2887.07062
315	2884.529186
316	2882.480129
317	2880.65359
318	2879.428768
319	2877.586845
320	2875.862399
321	2873.642671
322	2871.969225
323	2870.265506
324	2867.510217
325	2866.073254
326	2864.730447
327	2861.12205
328	2859.064961
329	2856.826761
330	2854.536047
331	2852.854489
332	2850.861476
333	2848.747225
334	2846.427414
335	2845.474626
336	2844.113429
337	2841.910808
338	2838.918696
339	2837.475986
340	2835.347686
341	2833.00091
342	2831.251783
343	2828.853576
344	2826.339625
345	2823.934462
346	2822.543091
347	2820.001559
348	2817.683373
349	2815.482399
350	2813.024283
351	2812.057333
352	2809.804687
353	2806.563075
354	2802.903452
355	2801.301293
356	2799.164121
357	2797.896572
358	2795.259863
359	2794.157009
360	2791.772624
361	2789.652881
362	2787.625255
363	2786.303063
364	2783.354048
365	2782.030894
366	2779.964949
367	2778.413475
368	2777.296709
369	2776.132812
370	2773.861574
371	2771.80612
372	2768.876544
373	2766.297672
374	2764.366247
375	2762.723322
376	2761.128451
377	2758.568001
378	2756.700049
379	2754.796516
380	2753.06408
381	2751.579498
382	2750.057146
383	2748.528645
384	2747.097606
385	2745.759098
386	2743.530759
387	2742.038625
388	2740.215426
389	2738.806091
390	2736.62605
391	2734.816445
392	2733.599631
393	2732.070608
394	2730.112239
395	2728.435735
396	2726.600184
397	2725.372037
398	2724.086235
399	2722.139052
400	2721.131814
401	2718.638262
402	2716.543492
403	2714.423594
404	2713.428604
405	2711.887029
406	2710.576913
407	2709.152696
408	2707.70391
409	2704.863168
410	2703.5798
411	2701.690079
412	2700.571351
413	2698.152788
414	2697.368083
415	2695.944769
416	2694.415235
417	2693.026147
418	2691.941475
419	2690.365852
420	2688.662452
421	2687.054962
422	2685.507592
423	2684.276086
424	2682.715749
425	2681.352132
426	2680.582812
427	2679.173968
428	2677.459922
429	2675.862135
430	2674.229117
431	2670.839066
432	2670.061582
433	2668.060249
434	2665.171402
435	2663.664297
436	2661.859188
437	2660.573413
438	2659.131509
439	2658.037402
440	2656.722857
441	2655.392575
442	2654.402638
443	2652.178938
444	2651.171142
445	2649.72979
446	2648.207428
447	2647.081908
448	2646.28284
449	2645.522975
450	2643.844122
451	2641.897255
452	2640.285623
453	2638.838916
454	2637.894662
455	2636.829619
456	2635.363542
457	2632.152574
458	2630.998175
459	2629.915237
460	2628.55305
461	2627.045939
462	2625.566033
463	2624.290512
464	2622.864255
465	2621.791365
466	2620.138592
467	2618.478463
468	2617.620513
469	2616.43285
470	2615.239543
471	2613.312235
472	2611.504357
473	2609.860746
474	2608.366465
475	2607.561031
476	2606.666325
477	2605.231701
478	2603.717018
479	2602.057215
480	2601.346038
481	2600.406939
482	2599.391692
483	2598.239268
484	2597.302188
485	2594.389267
486	2593.114693
487	2591.441047
488	2591.023823
489	2590.338817
490	2589.566505
491	2587.976754
492	2586.440379
493	2585.363426
494	2584.29341
495	2583.078723
496	2582.11247
497	2581.207915
498	2580.478848
499	2578.535694
500	2577.419308
501	2576.529268
502	2575.345305
503	2573.792155
504	2572.500537
505	2571.097034
506	2570.428055
507	2568.986865
508	2567.774664
509	2566.040365
510	2565.084357
511	2563.701247
512	2563.03443
513	2562.016895
514	2560.831329
515	2559.496642
516	2558.546993
517	2558.0076
518	2556.037847
519	2554.873642
520	2553.439276
521	2552.700209
522	2552.046684
523	2550.811393
524	2549.099693
525	2547.76644
526	2546.328581
527	2544.14075
528	2542.369091
529	2541.042209
530	2539.896151
531	2539.262888
532	2538.264789
533	2537.308911
534	2535.751127
535	2534.719951
536	2533.454888
537	2532.298705
538	2531.332817
539	2529.993629
540	2528.818902
541	2528.47165
542	2527.421154
543	2526.583718
544	2524.66193
545	2523.553909
546	2522.54071
547	2521.491338
548	2518.755088
549	2517.752221
550	2516.603589
551	2515.668342
552	2514.50887
553	2513.496482
554	2512.22554
555	2511.252799
556	2510.343465
557	2509.789934
558	2508.366475
559	2507.80242
560	2506.9533
561	2506.438487
562	2505.791561
563	2504.556507
564	2503.025065
565	2501.379481
566	2500.493855
567	2499.444814
568	2498.932477
569	2498.103851
570	2497.000456
571	2495.636285
572	2494.400525
573	2493.627569
574	2492.143398
575	2491.223858
576	2490.178732
577	2488.653935
578	2487.673281
579	2486.410025
580	2485.288497
581	2484.529633
582	2483.544407
583	2482.581229
584	2481.613342
585	2479.864731
586	2478.796823
587	2477.55228
588	2475.934219
589	2475.289622
590	2474.327271
591	2473.479016
592	2472.523677
593	2471.53758
594	2470.428129
595	2469.349427
596	2468.557478
597	2467.395613
598	2466.69694
599	2465.952557
600	2464.754291
601	2463.883545
602	2462.828111
603	2461.699939
604	2460.165891
605	2459.141647
606	2458.17672
607	2456.376679
608	2455.52836
609	2454.368226
610	2453.663737
611	2451.909025
612	2451.274781
613	2450.695097
614	2449.347359
615	2448.240879
616	2447.438514
617	2445.984716
618	2444.082062
619	2443.47991
620	2441.844134
621	2440.413772
622	2438.719346
623	2437.629278
624	2436.169262
625	2434.984419
626	2433.85589
627	2432.500176
628	2431.201805
629	2430.048973
630	2428.604599
631	2427.391545
632	2426.371519
633	2425.445677
634	2424.813497
635	2423.270814
636	2421.501777
637	2419.919742
638	2418.986919
639	2418.327738
640	2417.370174
641	2415.748096
642	2414.981582
643	2413.784867
644	2412.607532
645	2411.327853
646	2410.919968
647	2409.405468
648	2408.192694
649	2406.74775
650	2405.966194
651	2404.591838
652	2403.276136
653	2402.300604
654	2401.236651
655	2400.793271
656	2399.600193
657	2398.184154
658	2397.007129
659	2395.852515
660	2394.999885
661	2394.499477
662	2393.382756
663	2392.780111
664	2391.927317
665	2390.818868
666	2390.375207
667	2388.958054
668	2388.138528
669	2387.076052
670	2386.023217
671	2384.897379
672	2383.865325
673	2382.538761
674	2380.738297
675	2379.690417
676	2378.718641
677	2377.343011
678	2376.642301
679	2375.606761
680	2374.093834
681	2373.283524
682	2371.942013
683	2370.498939
684	2369.834379
685	2368.574132
686	2367.863009
687	2367.122986
688	2366.292966
689	2364.201379
690	2362.498436
691	2360.751613
692	2360.021316
693	2358.68447
694	2357.867895
695	2356.320355
696	2356.062167
697	2354.69107
698	2354.021144
699	2352.948098
700	2351.991176
701	2350.767657
702	2349.075967
703	2348.339792
704	2347.636008
705	2346.402996
706	2345.843137
707	2344.646605
708	2343.901154
709	2342.875847
710	2341.232674
711	2339.673802
712	2338.554304
713	2337.827878
714	2337.212215
715	2335.638084
716	2333.790821
717	2333.046709
718	2331.115316
719	2329.916537
720	2328.785383
721	2328.061568
722	2327.143384
723	2326.1985
724	2325.630119
725	2324.896341
726	2323.84789
727	2323.100029
728	2321.843628
729	2320.706364
730	2319.636842
731	2318.851585
732	2317.799859
733	2316.789256
734	2315.496787
735	2314.355702
736	2312.137721
737	2311.326585
738	2309.676785
739	2308.741332
740	2308.542039
741	2307.783281
742	2307.069812
743	2306.265001
744	2304.874155
745	2303.59227
746	2302.252318
747	2301.982031
748	2301.55797
749	2300.341129
750	2299.740648
751	2298.608017
752	2297.777002
753	2296.572314
754	2296.182713
755	2295.516926
756	2294.688956
757	2294.003321
758	2293.520237
759	2292.662888
760	2291.950278
761	2291.008517
762	2290.379787
763	2289.369531
764	2288.195083
765	2287.413234
766	2286.325576
767	2285.69651
768	2285.581896
769	2284.836876
770	2283.968899
771	2282.776046
772	2281.522446
773	2280.706688
774	2279.572956
775	2278.56217
776	2277.574111
777	2276.360787
778	2275.728057
779	2274.736427
780	2273.923371
781	2272.87759
782	2271.258824
783	2270.288818
784	2269.318027
785	2267.996887
786	2266.682021
787	2266.267673
788	2265.73211
789	2265.101199
790	2264.076644
791	2262.587651
792	2261.566589
793	2260.890579
794	2259.516727
795	2258.818018
796	2257.149385
797	2255.729255
798	2254.146526
799	2253.076268
800	2252.275907
801	2251.790043
802	2250.289561
803	2249.293817
804	2248.074923
805	2247.129112
806	2246.63463
807	2245.668125
808	2245.111922
809	2244.44652
810	2243.286336
811	2242.547576
812	2241.296509
813	2240.478321
814	2240.202982
815	2239.578371
816	2238.702456
817	2237.598451
818	2236.82851
819	2235.810205
820	2235.04138
821	2233.864676
822	2233.029999
823	2232.249363
824	2231.179306
825	2230.600382
826	2229.375792
827	2228.405218
828	2227.549099
829	2226.82346
830	2225.909588
831	2225.101957
832	2223.659022
833	2222.765507
834	2221.801415
835	2221.302284
836	2220.247291
837	2219.86058
838	2218.83222
839	2217.484048
840	2216.32129
841	2215.377436
842	2214.281321
843	2213.111264
844	2212.481068
845	2211.692342
846	2210.076431
847	2209.350133
848	2209.217751
849	2207.960383
850	2206.873548
851	2205.982043
852	2205.193751
853	2204.635959
854	2204.119697
855	2203.330854
856	2202.621217
857	2202.222127
858	2201.510012
859	2201.331633
860	2200.174485
861	2198.822417
862	2197.580049
863	2196.623043
864	2195.810836
865	2195.056264
866	2193.992886
867	2193.068179
868	2192.376135
869	2191.619273
870	2190.30504
871	2189.562814
872	2188.223997
873	2187.188989
874	2186.454987
875	2186.261409
876	2185.39305
877	2184.751535
878	2183.682735
879	2182.973681
880	2182.393956
881	2181.696189
882	2180.569033
883	2179.03877
884	2178.927713
885	2178.006045
886	2177.292872
887	2176.486987
888	2175.890781
889	2175.352959
890	2174.569556
891	2173.264016
892	2172.623608
893	2172.256835
894	2171.525241
895	2170.623762
896	2169.941513
897	2169.217979
898	2168.177768
899	2167.590707
900	2166.494726
901	2165.305547
902	2164.137276
903	2163.768452
904	2162.980015
905	2162.323405
906	2161.542646
907	2160.423585
908	2159.852352
909	2159.306774
910	2158.751772
911	2157.961393
912	2157.555988
913	2156.23064
914	2155.065021
915	2154.043145
916	2153.614095
917	2152.868774
918	2151.936673
919	2151.167199
920	2150.214985
921	2149.698096
922	2149.166572
923	2148.31235
924	2147.714799
925	2146.914653
926	2146.1143
927	2145.289287
928	2144.839521
929	2143.912984
930	2143.253793
931	2142.828642
932	2142.030622
933	2141.341306
934	2140.312368
935	2139.513255
936	2138.861283
937	2137.940071
938	2137.044818
939	2135.995754
940	2134.798134
941	2133.984499
942	2133.14408
943	2131.569832
944	2130.61958
945	2129.676248
946	2128.499726
947	2127.946458
948	2127.462835
949	2126.736994
950	2126.270354
951	2124.794929
952	2124.100451
953	2123.141314
954	2122.598798
955	2121.665509
956	2121.038614
957	2120.774843
958	2118.263401
959	2117.23894
960	2116.786339
961	2115.891485
962	2114.968415
963	2113.877854
964	2113.424039
965	2112.296987
966	2110.475397
967	2109.42714
968	2108.831926
969	2107.53932
970	2107.024537
971	2106.458508
972	2105.336949
973	2104.007229
974	2103.485874
975	2102.64514
976	2101.529007
977	2100.498212
978	2099.357055
979	2098.861406
980	2098.116989
981	2097.197062
982	2095.526159
983	2094.579292
984	2093.617204
985	2093.310859
986	2092.753767
987	2092.422446
988	2091.343327
989	2090.214295
990	2089.73127
991	2089.094068
992	2088.486515
993	2087.739853
994	2087.138992
995	2086.482491
996	2085.94977
997	2084.626415
998	2083.934678
999	2083.116812
